"campus","link"
"alegre","https://alegre.ifes.edu.br/index.php/calendario-academico"
"aracruz","https://www.ifes.edu.br/calendario-academico/18875-calendario-academico-2020?start=3"
"barra de sao francisco","https://saofrancisco.ifes.edu.br/index.php/calendario-academico"
"barra de são francisco","https://saofrancisco.ifes.edu.br/index.php/calendario-academico"
"cachoeiro de itapemirim","https://ifes.edu.br/calendario-academico/18875-calendario-academico-2020?showall=&start=5"
"cariacica","https://ifes.edu.br/calendario-academico/18875-calendario-academico-2020?start=6"
"centro serrano","https://centroserrano.ifes.edu.br/calendario-academico"
"centro-serrano","https://centroserrano.ifes.edu.br/calendario-academico"
"colatina","https://ifes.edu.br/calendario-academico/18875-calendario-academico-2020?start=8"
"guarapari","https://guarapari.ifes.edu.br/index.php/calendario-academico"
"ibatiba","https://ifes.edu.br/calendario-academico/18875-calendario-academico-2020?start=10"
"itapina","https://itapina.ifes.edu.br/index.php/calendario-academico"
"linhares","https://linhares.ifes.edu.br/component/content/article?id=16804"
"montanha","https://montanha.ifes.edu.br/index.php/calendario-academico"
"nova venécia","https://novavenecia.ifes.edu.br/calendario-academico"
"nova venecia","https://novavenecia.ifes.edu.br/calendario-academico"
"piuma","https://piuma.ifes.edu.br/index.php/calendario-academico"
"piúma","https://piuma.ifes.edu.br/index.php/calendario-academico"
"santa teresa","https://www.ifes.edu.br/calendario-academico/18875-calendario-academico-2020?start=16"
"sao mateus","http://saomateus.ifes.edu.br/noticias/684-calendario-academico-2020"
"são mateus","http://saomateus.ifes.edu.br/noticias/684-calendario-academico-2020"
"serra","https://serra.ifes.edu.br/calendario-academico"
"venda nova do imigrante","https://ifes.edu.br/calendario-academico/18875-calendario-academico-2020?showall=&start=19"
"viana","https://www.ifes.edu.br/calendario-academico/18875-calendario-academico-2020?start=20"
"vila velha","https://www.ifes.edu.br/calendario-academico/18875-calendario-academico-2020?showall=&start=21"
"vitoria","https://vitoria.ifes.edu.br/calendario-academico"
"vitória","https://vitoria.ifes.edu.br/calendario-academico"
